MA_LEN,C_總報酬,C_Sharpe,C_年化,C_MDD,C_在場,C_交易數,B_總報酬,B_Sharpe,B_年化,B_MDD,B_在場,B_進場數,差_總報酬,差_Sharpe,淨貢獻_總報酬,淨貢獻_Sharpe
20,1.5530324447093315,0.2790315643653369,0.036584162608209514,-0.4695883547262163,0.5548427476138319,84,0.7654375964612403,0.2085204957243273,0.022028778315105635,-0.30744728181908276,0.3761539665154123,74,-0.7875948482480912,-0.07051106864100959,-0.40932014740204037,-0.2569651891996123
40,3.1646766540041034,0.40888930294803666,0.056213580169584665,-0.3821402381268064,0.6075731497418244,63,0.7901029173611884,0.18774462407763629,0.022572521710068738,-0.378163326554677,0.4706618682522297,61,-2.374573736642915,-0.22114467887040037,-0.6174366279989432,-0.5410527360137154
50,6.225310983446706,0.5877675208191345,0.07875892548608476,-0.3038411466310702,0.6114849006415272,50,2.141401169991982,0.36830332130266197,0.04485807765223604,-0.34239612086239624,0.50868408699734,49,-4.083909813454724,-0.21946419951647256,-0.5993285923221678,-0.6168948889645404
60,7.581002905013548,0.6368700021624398,0.08589373967966663,-0.25606613852718996,0.6153966515412298,44,2.6885281022896916,0.4138222091149371,0.05130905123770879,-0.31755454924451787,0.527460491315913,43,-4.892474802723857,-0.22304779304750272,-0.60071379146792,-0.6520281561173786
80,9.631923675537573,0.6847288898530556,0.09485177884898932,-0.2566141158430809,0.6435612580190894,37,3.45882549263366,0.4549355718803016,0.058980516884946876,-0.24027512794336514,0.5662650602409639,36,-6.173098182903913,-0.22979331797275399,-0.606160174390038,-0.7150728908337717
100,6.482525876806353,0.5855136567903602,0.08020647848453266,-0.2303946945553289,0.6423094977311845,35,1.84886703911175,0.3238785774139029,0.04095014555343024,-0.2472241671578892,0.5618838992332968,34,-4.633658837694602,-0.26163507937645725,-0.6459441342783121,-0.7421535149864391
150,2.3091925635346553,0.33655551956913143,0.04694442094143647,-0.3370033690666615,0.6609294320137694,28,0.8906160447353204,0.18782655461324504,0.024716272684631946,-0.33758768456080845,0.5970896573306211,28,-1.4185765187993349,-0.1487289649558864,-0.4597989182216279,-0.5037940764393564
200,2.5079309455631873,0.35321682593830445,0.04928778703572223,-0.3370033690666615,0.6671882334532937,25,1.4062452141933437,0.2564093218899608,0.034233795354047025,-0.3313016067601785,0.612736660929432,25,-1.1016857313698436,-0.09680750404834365,-0.34305486077854674,-0.3922684672778754
